zpid,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,homeStatus,daysOnZillow,isFeatured,shouldHighlight,zestimate,rentZestimate,listing_sub_type,isUnmappable,isPreforeclosureAuction,homeStatusForHDP,priceForHDP,isNonOwnerOccupied,isPremierBuilder,isZillowOwned,currency,country,taxAssessedValue,lotAreaValue,lotAreaUnit,datePriceChanged,priceReduction,priceChange,unit,openHouse,open_house_info,newConstructionType,videoCount
2016857,2428 10th Ave S,55404,Minneapolis,MN,44.958157,-93.26036,314000,3,4,2000,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,307800,2214,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,314000,TRUE,FALSE,FALSE,USD,USA,260000,5227.2,sqft,1.66746E+12,"$5,000 (Nov 3)",-5000,,,,,
1818979,4616 Chicago Ave,55407,Minneapolis,MN,44.919083,-93.26299,239500,1,2,1206,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,233200,1699,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,239500,TRUE,FALSE,FALSE,USD,USA,267000,4791.6,sqft,1.6685E+12,"$10,500 (Nov 15)",-10500,,,,,
1711536,218 33rd St W,55408,Minneapolis,MN,44.94319,-93.28221,289000,2,2,1587,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,282700,1995,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,289000,TRUE,FALSE,FALSE,USD,USA,351000,4791.6,sqft,,,,,,,,
82644896,2942 Knox Ave N,55411,Minneapolis,MN,45.010822,-93.30154,298000,3,4,1672,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,291500,2684,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,298000,TRUE,FALSE,FALSE,USD,USA,239000,0.12,sqft,,,,,,,,
1991368,3141 Dean Ct APT 703,55416,Minneapolis,MN,44.950798,-93.31986,389500,3,2,1716,CONDO,FOR_SALE,-1,FALSE,FALSE,382800,2600,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,389500,TRUE,FALSE,FALSE,USD,USA,405000,,,1.66573E+12,"$20,400 (Oct 14)",-20400,Apt 703,,,,
1773790,3323 Humboldt Ave N,55412,Minneapolis,MN,45.015705,-93.29848,224900,1,4,2543,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,218200,2199,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,224900,TRUE,FALSE,FALSE,USD,USA,183000,5662.8,sqft,1.66859E+12,"$5,100 (Nov 16)",-5100,,,,,
1977332,2701 40th Ave S,55406,Minneapolis,MN,44.953598,-93.21508,195000,1,2,818,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,188300,1450,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,195000,TRUE,FALSE,FALSE,USD,USA,226000,3920.4,sqft,,,,,,,,
1818214,4725 18th Ave S,55407,Minneapolis,MN,44.917076,-93.24821,438000,2,3,1732,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,431200,2250,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,438000,TRUE,FALSE,FALSE,USD,USA,408000,5227.2,sqft,1.66841E+12,"$12,000 (Nov 14)",-12000,,,,,
1804345,2501 Buchanan St NE,55418,Minneapolis,MN,45.01339,-93.23934,309900,3,3,2685,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,303100,2100,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,309900,TRUE,FALSE,FALSE,USD,USA,313000,10018.8,sqft,1.66876E+12,"$15,000 (Nov 18)",-15000,,,,,
61623847,560 N 2nd St APT 108,55401,Minneapolis,MN,44.987743,-93.27403,375000,2,2,1276,CONDO,FOR_SALE,-1,FALSE,FALSE,368200,2465,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,375000,TRUE,FALSE,FALSE,USD,USA,373000,,,1.66564E+12,"$14,000 (Oct 13)",-14000,Apt 108,,,,
1726880,4238 Upton Ave N,55412,Minneapolis,MN,45.0327,-93.31453,275000,2,3,2164,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,268100,2400,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,275000,TRUE,FALSE,FALSE,USD,USA,229000,6098.4,sqft,1.66815E+12,"$24,000 (Nov 11)",-24000,,,,,
1783814,2830 Grand St NE,55418,Minneapolis,MN,45.01951,-93.270485,280000,2,3,1450,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,273100,1800,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,280000,TRUE,FALSE,FALSE,USD,USA,140000,4791.6,sqft,1.66859E+12,"$15,000 (Nov 16)",-15000,,,,,
1800886,4023 26th Ave S,55406,Minneapolis,MN,44.929703,-93.2343,269900,1,3,1952,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,262900,2195,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,269900,TRUE,FALSE,FALSE,USD,USA,250000,5227.2,sqft,1.66902E+12,"$5,100 (Nov 21)",-5100,,,,,
1794161,695 24th Ave NE,55418,Minneapolis,MN,45.012432,-93.25271,350000,2,4,2127,MULTI_FAMILY,FOR_SALE,-1,FALSE,FALSE,343000,2199,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,350000,TRUE,FALSE,FALSE,USD,USA,288000,10454.4,sqft,1.66902E+12,"$20,000 (Nov 21)",-20000,,,,,
1804153,1104 26th Ave NE,55418,Minneapolis,MN,45.014763,-93.24345,223900,2,4,1444,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,216800,1983,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,223900,TRUE,FALSE,FALSE,USD,USA,229000,2613.6,sqft,1.66867E+12,$800 (Nov 17),-800,,,,,
1783430,4214 1st Ave S,55409,Minneapolis,MN,44.92629,-93.27699,384900,2,3,2556,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,377800,2199,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,384900,TRUE,FALSE,FALSE,USD,USA,320000,5227.2,sqft,,,,,,,,
1818569,4820 14th Ave S,55417,Minneapolis,MN,44.915375,-93.25533,364900,2,3,1627,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,357800,2199,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,364900,TRUE,FALSE,FALSE,USD,USA,351000,5662.8,sqft,,,,,,,,
1819030,4601 Portland Ave,55407,Minneapolis,MN,44.91955,-93.267265,419900,2,4,2464,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,412700,2494,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,419900,TRUE,FALSE,FALSE,USD,USA,296000,6534,sqft,1.66599E+12,"$20,000 (Oct 17)",-20000,,,,,
2022686,2918 25th St E,55406,Minneapolis,MN,44.957615,-93.2289,285000,1,2,875,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,277800,1399,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,285000,TRUE,FALSE,FALSE,USD,USA,247000,2613.6,sqft,1.66867E+12,"$14,900 (Nov 17)",-14900,,,,,
1950648,825 Kenwood Pkwy,55403,Minneapolis,MN,44.96892,-93.29919,849000,2,3,2156,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,841743,4231,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,849000,TRUE,FALSE,FALSE,USD,USA,756000,0.26,acres,1.66297E+12,"$26,000 (Sep 12)",-26000,,,,,
2001837,2625 Bryant Ave S,55408,Minneapolis,MN,44.954754,-93.29025,399900,3,4,2920,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,392629,2999,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,399900,TRUE,FALSE,FALSE,USD,USA,490500,5227.2,sqft,1.66625E+12,"$10,000 (Oct 20)",-10000,,,,,
1762049,3439 Thomas Ave N,55412,Minneapolis,MN,45.018005,-93.313705,184900,2,4,1094,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,177500,1724,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,184900,TRUE,FALSE,FALSE,USD,USA,159000,5227.2,sqft,1.66833E+12,,5000,,,,,
1704023,3024 17th Ave S,55407,Minneapolis,MN,44.94749,-93.25034,275000,2,3,1390,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,267600,1950,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,275000,TRUE,FALSE,FALSE,USD,USA,247000,5227.2,sqft,1.66781E+12,"$10,000 (Nov 7)",-10000,,,,,
1829185,4623 Pleasant Ave,55419,Minneapolis,MN,44.918686,-93.28274,375000,1,5,2121,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,367600,1900,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,375000,TRUE,FALSE,FALSE,USD,USA,314000,5662.8,sqft,,,,,,,,
1820553,5324 Bloomington Ave,55417,Minneapolis,MN,44.906246,-93.25286,329990,2,4,2150,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,322400,2398,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,329990,TRUE,FALSE,FALSE,USD,USA,369000,4791.6,sqft,1.66426E+12,"$35,010 (Sep 27)",-35010,,,,,
1804944,1930 Buchanan St NE,55418,Minneapolis,MN,45.008865,-93.24009,399500,3,5,2045,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,391900,1900,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,399500,TRUE,FALSE,FALSE,USD,USA,282000,6534,sqft,1.6685E+12,"$25,000 (Nov 15)",-25000,,,,,
1711242,3140 Garfield Ave,55408,Minneapolis,MN,44.94515,-93.2872,317500,3,3,2143,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,309900,2499,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,317500,TRUE,FALSE,FALSE,USD,USA,331000,5227.2,sqft,1.66876E+12,"$16,805 (Nov 18)",-16805,,,,,
1726758,4230 Washburn Ave N,55412,Minneapolis,MN,45.03242,-93.31708,230000,1,2,1125,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,222100,1425,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,230000,TRUE,FALSE,FALSE,USD,USA,236000,6534,sqft,1.66833E+12,"$12,500 (Nov 13)",-12500,,,,,
1796092,5100 Thomas Ave N,55430,Minneapolis,MN,45.047955,-93.31422,255000,1,2,936,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,247100,1494,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,255000,TRUE,FALSE,FALSE,USD,USA,234000,0.43,acres,,,,,,,,
2023315,2901 29th Ave S,55406,Minneapolis,MN,44.949993,-93.229675,286000,1,3,1304,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,278000,1849,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,286000,TRUE,FALSE,FALSE,USD,USA,167000,0.09,sqft,,,,,,,,
