zpid,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,homeStatus,daysOnZillow,isFeatured,shouldHighlight,zestimate,rentZestimate,listing_sub_type,isUnmappable,isPreforeclosureAuction,homeStatusForHDP,priceForHDP,isNonOwnerOccupied,isPremierBuilder,isZillowOwned,currency,country,taxAssessedValue,lotAreaValue,lotAreaUnit,datePriceChanged,priceReduction,priceChange,providerListingID,newConstructionType,unit,videoCount,openHouse,open_house_info
2217123,6351 Alderwood Cir APT D,55125,Woodbury,MN,44.936203,-92.97935,155000,1,1,759,CONDO,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,155000,TRUE,FALSE,FALSE,USD,USA,121400,7405.2,sqft,,,,,,Apt D,,,
2061143205,1831 Century Ave S,55055,Newport,MN,44.88452,-92.98412,185000,,,,LOT,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,185000,TRUE,FALSE,FALSE,USD,USA,,0.9,acres,,,,,,,,,
2061143348,1841 Century Ave S,55055,Newport,MN,44.884777,-92.98413,185000,,,,LOT,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,185000,TRUE,FALSE,FALSE,USD,USA,,0.9,acres,,,,,,,,,
333958585,9937 Park Xing,55125,Woodbury,MN,44.914997,-92.90717,189000,,,,LOT,FOR_SALE,-1,FALSE,FALSE,,2400,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,189000,TRUE,FALSE,FALSE,USD,USA,157000,0.86,acres,1.65E+12,,-900,,,,,,
2243519,7079 Robinwood Trl,55125,Woodbury,MN,44.90606,-92.96081,245000,1,2,976,TOWNHOUSE,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,245000,TRUE,FALSE,FALSE,USD,USA,181900,0.11,sqft,,,,,,,,,
2213028,680 Woodduck Dr APT F,55125,Woodbury,MN,44.939064,-92.94338,279900,2,3,1637,TOWNHOUSE,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,279900,TRUE,FALSE,FALSE,USD,USA,219800,0.75,acres,1.67E+12,"$5,100 (Oct 27)",-5100,,,Apt F,,,
2243975,7899 Forest Blvd APT D,55125,Woodbury,MN,44.90563,-92.94626,280000,2,2,1300,TOWNHOUSE,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,280000,TRUE,FALSE,FALSE,USD,USA,208500,3049.2,sqft,1.67E+12,"$10,000 (Nov 7)",-10000,,,Apt D,,,
55377057,670 Kingfisher Ln APT F,55125,Woodbury,MN,44.939083,-92.94461,285000,2,3,1636,TOWNHOUSE,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,285000,TRUE,FALSE,FALSE,USD,USA,214500,,,,,,,,Apt F,,,
2086644788,5127 Woodlane Alcove,55129,Woodbury,MN,,,305000,,,,LOT,FOR_SALE,-1,FALSE,FALSE,,1454,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,305000,TRUE,FALSE,FALSE,USD,USA,,2.19,acres,,,,,,,,,
2247082,6760 Jenny Ln,55125,Woodbury,MN,44.906822,-92.96924,309900,2,2,1413,TOWNHOUSE,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,309900,TRUE,FALSE,FALSE,USD,USA,260800,3049.2,sqft,,,,,,,,,
