zpid,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,homeStatus,daysOnZillow,isFeatured,shouldHighlight,zestimate,rentZestimate,listing_sub_type,isUnmappable,isPreforeclosureAuction,homeStatusForHDP,priceForHDP,isNonOwnerOccupied,isPremierBuilder,isZillowOwned,currency,country,taxAssessedValue,lotAreaValue,lotAreaUnit,datePriceChanged,priceReduction,priceChange,unit,openHouse,open_house_info
1851554,7065 Oak Pointe Curv,55438,Bloomington,MN,44.848408,-93.37538,549900,3,2,2406,TOWNHOUSE,FOR_SALE,-1,FALSE,FALSE,549904,2421,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,549900,TRUE,FALSE,FALSE,USD,USA,466700,4356,sqft,,,,,,
1789211,8932 11th Ave S,55420,Bloomington,MN,44.841175,-93.25977,359900,2,3,1940,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,359903,1995,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,359900,TRUE,FALSE,FALSE,USD,USA,317500,0.38,acres,,,,,,
1969868,7658 S Bay Dr,55438,Bloomington,MN,44.828083,-93.3853,1450000,5,5,5399,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,1450002,7195,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,1450000,TRUE,FALSE,FALSE,USD,USA,879300,0.36,acres,,,,,,
1904324,171 E 105th Street Cir,55420,Bloomington,MN,44.8134,-93.274994,479000,3,5,2747,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,479001,2100,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,479000,TRUE,FALSE,FALSE,USD,USA,387100,0.36,acres,,,,,,
1735090,8336 Little Rd,55437,Bloomington,MN,44.852562,-93.337494,499000,3,5,2744,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,499001,2962,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,499000,TRUE,FALSE,FALSE,USD,USA,330700,0.26,acres,1.66616E+12,"$50,000 (Oct 19)",-50000,,,
1894524,10301 Humboldt Ave S,55431,Bloomington,MN,44.81702,-93.29822,335000,2,3,1609,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,335000,2094,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,335000,TRUE,FALSE,FALSE,USD,USA,290400,0.44,acres,,,,,,
82650247,7102 Oak Pointe Curv,55438,Bloomington,MN,44.84884,-93.37581,500000,3,3,2612,MULTI_FAMILY,FOR_SALE,-1,FALSE,FALSE,500000,2898,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,500000,TRUE,FALSE,FALSE,USD,USA,411200,4356,sqft,,,,,,
1884728,10835 Washburn Ave S,55431,Bloomington,MN,44.806892,-93.31778,374900,2,3,2210,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,374900,2094,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,374900,TRUE,FALSE,FALSE,USD,USA,292000,10018.8,sqft,1.66685E+12,"$5,000 (Oct 27)",-5000,,,
1728993,7000 113th St W,55438,Bloomington,MN,44.800938,-93.37408,275000,2,3,1689,TOWNHOUSE,FOR_SALE,-1,FALSE,FALSE,275000,1999,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,275000,TRUE,FALSE,FALSE,USD,USA,222900,2178,sqft,,,,,,
1872640,10725 Rich Ave S,55437,Bloomington,MN,44.807392,-93.34444,334888,2,4,2200,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,334800,2199,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,334888,TRUE,FALSE,FALSE,USD,USA,317700,0.347162534,acres,1.66755E+12,"$11,000 (Nov 4)",-11000,,,
