,zpid,streetAddress,zipcode,city,state,latitude,longitude,price,datePriceChanged,bathrooms,bedrooms,livingArea,homeType,homeStatus,daysOnZillow,isFeatured,shouldHighlight,zestimate,rentZestimate,listing_sub_type,priceReduction,isUnmappable,isPreforeclosureAuction,homeStatusForHDP,priceForHDP,priceChange,isNonOwnerOccupied,isPremierBuilder,isZillowOwned,currency,country,taxAssessedValue,lotAreaValue,lotAreaUnit,videoCount,unit,newConstructionType,providerListingID,openHouse,open_house_info
37,1949237,6405 Newton Ave S,55423,Richfield,MN,44.886787,-93.305725,380000,1668590000000.0,2.0,4.0,2202.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,,,{'is_FSBA': True},"$20,000 (Nov 16)",False,False,FOR_SALE,380000,-20000.0,True,False,False,USD,USA,342000.0,8276.4,sqft,,,,,,
38,1987471,7215 Russell Ave S,55423,Richfield,MN,44.872135,-93.31078,389900,,2.0,3.0,1930.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,,,{'is_FSBA': True},,False,False,FOR_SALE,389900,,True,False,False,USD,USA,229000.0,10018.8,sqft,,,,,,
39,1949877,6946 Irving Ave S,55423,Richfield,MN,44.87646,-93.30006,449900,1664430000000.0,2.0,5.0,3214.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,,,{'is_FSBA': True},"$50,000 (Sep 29)",False,False,FOR_SALE,449900,-50000.0,True,False,False,USD,USA,419000.0,8712.0,sqft,,,,,,
0,2256375,8893 Springwood Dr,55125,Woodbury,MN,44.898663,-92.924385,849000,,4.0,5.0,4605.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,963800.0,5250.0,{'is_FSBA': True},,False,False,FOR_SALE,849000,,True,False,False,USD,USA,630800.0,0.44,acres,,,,,,
1,2065676051,11277 Crestbury Dr,55129,Woodbury,MN,44.931637,-92.87718,379990,1670000000000.0,3.0,3.0,1883.0,TOWNHOUSE,FOR_SALE,-1,False,False,395600.0,2462.0,{'is_newHome': True},"$5,000 (Nov 7)",False,False,FOR_SALE,379990,-5000.0,True,True,False,USD,USA,,0.06,sqft,,,BUILDER_SPEC,28977951.0,,
2,240363293,4991 Sunflower Pl,55129,Woodbury,MN,44.87675,-92.91785,985000,1670000000000.0,3.0,3.0,2912.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,999600.0,5489.0,{'is_newHome': True},"$10,000 (Nov 17)",False,False,FOR_SALE,985000,-10000.0,True,False,False,USD,USA,180000.0,0.3,acres,,,BUILDER_SPEC,,,
3,88931757,2428 Cochrane Cir,55125,Woodbury,MN,44.914165,-92.9667,186000,1670000000000.0,1.0,2.0,1009.0,TOWNHOUSE,FOR_SALE,-1,False,False,200000.0,1494.0,{'is_FSBA': True},"$14,000 (Nov 24)",False,False,FOR_SALE,186000,-14000.0,True,False,False,USD,USA,145500.0,5662.8,sqft,,,,,,
4,2229088,1863 Orchard Dr,55125,Woodbury,MN,44.921795,-92.91456,509000,1670000000000.0,4.0,5.0,2968.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,517502.0,2579.0,{'is_FSBA': True},"$8,500 (Nov 28)",False,False,FOR_SALE,509000,-8500.0,True,False,False,USD,USA,402600.0,10018.8,sqft,,,,,,
5,299623491,9631 Westwind Cir,55129,Woodbury,MN,44.86792,-92.90926,653000,,4.0,5.0,2975.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,658700.0,3638.0,{'is_newHome': True},,False,False,FOR_SALE,653000,,True,False,False,USD,USA,135000.0,8276.4,sqft,,,BUILDER_SPEC,,,
6,299623658,9627 Westwind Cir,55129,Woodbury,MN,44.867916,-92.90976,636300,,3.0,3.0,2656.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,638300.0,3521.0,{'is_newHome': True},,False,False,FOR_SALE,636300,,True,False,False,USD,USA,135000.0,8276.4,sqft,,,BUILDER_SPEC,,,
7,2213024,680 Woodduck Dr APT B,55125,Woodbury,MN,44.939064,-92.94338,235000,,2.0,2.0,1272.0,TOWNHOUSE,FOR_SALE,-1,False,False,237000.0,1798.0,{'is_FSBA': True},,False,False,FOR_SALE,235000,,True,False,False,USD,USA,189700.0,,,,Apt B,,,,
8,2246299,2646 Mallard Dr,55125,Woodbury,MN,44.90988,-92.97626,226000,,2.0,2.0,1160.0,TOWNHOUSE,FOR_SALE,-1,False,False,227900.0,1610.0,{'is_FSBA': True},,False,False,FOR_SALE,226000,,True,False,False,USD,USA,183700.0,,,,,,,,
9,299623143,4809 Copper Cir,55129,Woodbury,MN,44.876743,-92.925224,495000,1660000000000.0,3.0,3.0,2409.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,496300.0,2636.0,{'is_FSBA': True},,False,False,FOR_SALE,495000,-10000.0,True,False,False,USD,USA,415100.0,7405.2,sqft,,,,,,
10,2243959,7943 Forest Blvd APT J,55125,Woodbury,MN,44.905823,-92.94529,230000,,2.0,2.0,1138.0,TOWNHOUSE,FOR_SALE,-1,False,False,231200.0,1694.0,{'is_FSBA': True},,False,False,FOR_SALE,230000,,True,False,False,USD,USA,185600.0,1306.8,sqft,,Apt J,,,,
11,2259858,3398 Williamsburg Pkwy,55129,Woodbury,MN,44.8995,-92.898415,598789,1670000000000.0,4.0,5.0,3651.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,599900.0,3294.0,{'is_FSBA': True},"$1,111 (Nov 7)",False,False,FOR_SALE,598789,-1111.0,True,False,False,USD,USA,444100.0,0.34,acres,,,,,,
12,2061701240,11263 Crestbury Dr,55129,Woodbury,MN,44.931637,-92.87718,434990,1660000000000.0,3.0,3.0,1983.0,TOWNHOUSE,FOR_SALE,-1,False,False,436100.0,2427.0,{'is_newHome': True},"$5,000 (Sep 23)",False,False,FOR_SALE,434990,-5000.0,True,True,False,USD,USA,,0.06,sqft,,,BUILDER_SPEC,28977951.0,,
13,299642076,10787 Retreat Ln,55129,Woodbury,MN,44.939358,-92.8877,425000,,3.0,3.0,1680.0,TOWNHOUSE,FOR_SALE,-1,False,False,426000.0,2100.0,{'is_FSBA': True},,False,False,FOR_SALE,425000,,True,False,False,USD,USA,317300.0,2178.0,sqft,,,,,,
14,63405641,10776 Falling Water Ln UNIT G,55129,Woodbury,MN,44.92139,-92.88811,429900,,3.0,2.0,1927.0,TOWNHOUSE,FOR_SALE,-1,False,False,430700.0,2395.0,{'is_FSBA': True},,False,False,FOR_SALE,429900,,True,False,False,USD,USA,308300.0,10454.4,sqft,1.0,Unit G,,,,
15,2270851,6461 Crackleberry Trl,55129,Woodbury,MN,44.874016,-92.97325,799900,1670000000000.0,4.0,4.0,3700.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,800500.0,3614.0,"{'is_openHouse': True, 'is_FSBA': True}","$30,000 (Oct 24)",False,False,FOR_SALE,799900,-30000.0,True,False,False,USD,USA,470300.0,4.61,acres,1.0,,,,Sat. 11:30am-1pm,"{'open_house_showing': [{'open_house_start': 1670095800000, 'open_house_end': 1670101200000}]}"
16,64991034,4743 Radio Dr,55129,Woodbury,MN,44.880253,-92.94253,799900,,2.0,4.0,3881.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,800100.0,3358.0,{'is_FSBA': True},,False,False,FOR_SALE,799900,,True,False,False,USD,USA,377300.0,2.59,acres,,,,,,
17,299623590,8786 Granite Cir,55129,Woodbury,MN,44.882355,-92.927666,378900,1660000000000.0,4.0,3.0,2046.0,TOWNHOUSE,FOR_SALE,-1,False,False,379035.0,2327.0,{'is_FSBA': True},$100 (Oct 5),False,False,FOR_SALE,378900,-100.0,True,False,False,USD,USA,297600.0,1306.8,sqft,,,,,,
18,2243263,2080 Cameron Dr,55125,Woodbury,MN,44.91796,-92.96128,520000,,3.0,5.0,3450.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,520074.0,3314.0,{'is_FSBA': True},,False,False,FOR_SALE,520000,,True,False,False,USD,USA,331500.0,0.27,acres,,,,,,
19,2268550,4651 Wild Canyon Trl,55129,Woodbury,MN,44.881676,-92.98016,774900,1670000000000.0,4.0,4.0,4811.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,774907.0,4361.0,{'is_FSBA': True},"$5,000 (Nov 7)",False,False,FOR_SALE,774900,-5000.0,True,False,False,USD,USA,545200.0,2.17,acres,,,,,,
20,2268557,4890 Wild Canyon Dr,55129,Woodbury,MN,44.8777,-92.98313,869900,1670000000000.0,4.0,4.0,6638.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,869904.0,4910.0,{'is_FSBA': True},"$30,100 (Oct 13)",False,False,FOR_SALE,869900,-30100.0,True,False,False,USD,USA,672300.0,1.87,acres,,,,,,
21,249236152,5019 Dale Ridge Rd,55129,Woodbury,MN,44.87575,-92.91586,659900,,3.0,3.0,2842.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,659904.0,3597.0,"{'is_newHome': True, 'is_openHouse': True}",,False,False,FOR_SALE,659900,,True,False,False,USD,USA,119000.0,0.14,sqft,,,BUILDER_SPEC,,Thu. 12-4pm,"{'open_house_showing': [{'open_house_start': 1669924800000, 'open_house_end': 1669939200000}, {'open_house_start': 1670011200000, 'open_house_end': 1670025600000}, {'open_house_start': 1670097600000, 'open_house_end': 1670112000000}, {'open_house_start': 1670184000000, 'open_house_end': 1670198400000}, {'open_house_start': 1670529600000, 'open_house_end': 1670544000000}, {'open_house_start': 1670616000000, 'open_house_end': 1670630400000}, {'open_house_start': 1670702400000, 'open_house_end': 1670716800000}, {'open_house_start': 1670788800000, 'open_house_end': 1670803200000}, {'open_house_start': 1671134400000, 'open_house_end': 1671148800000}, {'open_house_start': 1671220800000, 'open_house_end': 1671235200000}, {'open_house_start': 1671307200000, 'open_house_end': 1671321600000}, {'open_house_start': 1671393600000, 'open_house_end': 1671408000000}]}"
22,2256948,3506 N View Ln,55125,Woodbury,MN,44.897957,-92.93185,586000,,4.0,4.0,3663.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,586004.0,2898.0,{'is_FSBA': True},,False,False,FOR_SALE,586000,,True,False,False,USD,USA,428100.0,10454.4,sqft,,,,,,
23,2248604,6844 Buckingham Ct,55125,Woodbury,MN,44.90439,-92.96649,277900,,2.0,3.0,1770.0,TOWNHOUSE,FOR_SALE,-1,False,False,277902.0,1764.0,{'is_FSBA': True},,False,False,FOR_SALE,277900,,True,False,False,USD,USA,222800.0,6534.0,sqft,,,,,,
24,59742337,8634 Savanna Oaks Bay UNIT G,55125,Woodbury,MN,44.90626,-92.93125,279000,,2.0,2.0,1479.0,TOWNHOUSE,FOR_SALE,-1,False,False,279002.0,1849.0,{'is_FSBA': True},,False,False,FOR_SALE,279000,,True,False,False,USD,USA,199200.0,0.79,acres,,Unit G,,,,
25,316356842,4530 Cobalt Dr,55129,Woodbury,MN,44.87944,-92.933525,400000,1670000000000.0,2.0,3.0,1898.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,400002.0,2425.0,{'is_FSBA': True},"$29,900 (Nov 1)",False,False,FOR_SALE,400000,-29900.0,True,False,False,USD,USA,339000.0,10018.8,sqft,,,,,,
26,2238147,2725 Bexley Dr,55125,Woodbury,MN,44.90954,-92.912285,375000,,3.0,5.0,2217.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,375002.0,1930.0,{'is_FSBA': True},,False,False,FOR_SALE,375000,,True,False,False,USD,USA,301400.0,0.28,acres,,,,,,
27,88932278,10917 Ashley Ln,55129,Woodbury,MN,44.935097,-92.88448,524900,,4.0,4.0,3217.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,524902.0,3104.0,{'is_FSBA': True},,False,False,FOR_SALE,524900,,True,False,False,USD,USA,411500.0,8276.4,sqft,,,,,,
28,249236164,4307 Corn Silk Ln,55129,Woodbury,MN,44.886154,-92.9527,375000,1670000000000.0,3.0,3.0,1792.0,TOWNHOUSE,FOR_SALE,-1,False,False,375002.0,2248.0,{'is_FSBA': True},"$14,900 (Oct 26)",False,False,FOR_SALE,375000,-14900.0,True,False,False,USD,USA,334900.0,2613.6,sqft,,,,,,
29,55378819,2525 Cobble Hill Ct UNIT J,55125,Woodbury,MN,44.91191,-92.97092,240000,1670000000000.0,2.0,2.0,1240.0,TOWNHOUSE,FOR_SALE,-1,False,False,240002.0,1656.0,{'is_FSBA': True},"$4,000 (Oct 13)",False,False,FOR_SALE,240000,-4000.0,True,False,False,USD,USA,169000.0,435.6,sqft,,Unit J,,,,
30,2263055,4935 Radio Dr,55129,Woodbury,MN,44.877014,-92.94296,499900,1670000000000.0,3.0,5.0,2644.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,499902.0,2600.0,{'is_FSBA': True},"$50,100 (Nov 12)",False,False,FOR_SALE,499900,-50100.0,True,False,False,USD,USA,366800.0,0.9,acres,,,,,,
31,299623747,4246 Corn Silk Way,55129,Woodbury,MN,44.886913,-92.953224,359000,1670000000000.0,3.0,3.0,1719.0,TOWNHOUSE,FOR_SALE,-1,False,False,359002.0,2300.0,{'is_FSBA': True},"$15,500 (Nov 1)",False,False,FOR_SALE,359000,-15500.0,True,False,False,USD,USA,319700.0,,,,,,,,
